1,Abohar ,PUNJAB
2,Achalpur ,MAHARASHTRA
3,Adilabad ,ANDHRA PRADESH
4,Adityapur ,JHARKHAND
5,Adoni ,ANDHRA PRADESH
6,Agartala ,TRIPURA
7,Agra ,UTTAR PRADESH
8,Ahmadabad ,GUJARAT
9,Ahmadnagar ,MAHARASHTRA
10,Aizawl ,MIZORAM
11,Ajmer ,RAJASTHAN
12,Akbarpur ,UTTAR PRADESH
13,Akola ,MAHARASHTRA
14,Alandur ,TAMIL NADU
15,Alappuzha ,KERALA
16,Aligarh ,UTTAR PRADESH
17,Allahabad ,UTTAR PRADESH
18,Alwar ,RAJASTHAN
19,Ambala ,HARYANA
20,Ambala Sadar ,HARYANA
21,Ambarnath ,MAHARASHTRA
22,Ambattur ,TAMIL NADU
23,Ambikapur ,CHHATTISGARH
24,Ambur ,TAMIL NADU
25,Amravati ,MAHARASHTRA
26,Amreli ,GUJARAT
27,Amritsar ,PUNJAB
28,Amroha ,UTTAR PRADESH
29,Anand ,GUJARAT
30,Anantapur ,ANDHRA PRADESH
31,Anantnag ,JAMMU & KASHMIR
32,Arrah ,BIHAR
33,Asansol ,WEST BENGAL
34,Ashoknagar Kalyangarh ,WEST BENGAL
35,Aurangabad ,BIHAR
36,Aurangabad ,MAHARASHTRA
37,Avadi ,TAMIL NADU
38,Azamgarh ,UTTAR PRADESH
39,Badlapur ,MAHARASHTRA
40,Bagaha ,BIHAR
41,Bagalkot ,KARNATAKA
42,Bahadurgarh ,HARYANA
43,Baharampur ,WEST BENGAL
44,Bahraich ,UTTAR PRADESH
45,Baidyabati ,WEST BENGAL
46,Baleshwar Town ,ORISSA
47,Ballia ,UTTAR PRADESH
48,Bally ,WEST BENGAL
49,Bally City,WEST BENGAL
50,Balurghat ,WEST BENGAL
51,Banda ,UTTAR PRADESH
52,Bankura ,WEST BENGAL
53,Bansberia ,WEST BENGAL
54,Banswara ,RAJASTHAN
55,Baran ,RAJASTHAN
56,Baranagar ,WEST BENGAL
57,Barasat ,WEST BENGAL
58,Baraut ,UTTAR PRADESH
59,Barddhaman ,WEST BENGAL
60,Bareilly ,UTTAR PRADESH
61,Baripada Town ,ORISSA
62,Barnala ,PUNJAB
63,Barrackpur ,WEST BENGAL
64,Barshi ,MAHARASHTRA
65,Basirhat ,WEST BENGAL
66,Basti ,UTTAR PRADESH
67,Batala ,PUNJAB
68,Bathinda ,PUNJAB
69,Beawar ,RAJASTHAN
70,Begusarai ,BIHAR
71,Belgaum ,KARNATAKA
72,Bellary ,KARNATAKA
73,Bengaluru,KARNATAKA
74,Bettiah ,BIHAR
75,Betul ,MADHYA PRADESH
76,Bhadrak ,ORISSA
77,Bhadravati ,KARNATAKA
78,Bhadreswar ,WEST BENGAL
79,Bhagalpur ,BIHAR
80,Bhalswa Jahangir Pur ,NCT OF DELHI
81,Bharatpur ,RAJASTHAN
82,Bharuch ,GUJARAT
83,Bhatpara ,WEST BENGAL
84,Bhavnagar ,GUJARAT
85,Bhilai Nagar ,CHHATTISGARH
86,Bhilwara ,RAJASTHAN
87,Bhimavaram ,ANDHRA PRADESH
88,Bhind ,MADHYA PRADESH
89,Bhiwadi ,RAJASTHAN
90,Bhiwandi ,MAHARASHTRA
91,Bhiwani ,HARYANA
92,Bhopal ,MADHYA PRADESH
93,Bhubaneswar Town ,ORISSA
94,Bhuj ,GUJARAT
95,Bhusawal ,MAHARASHTRA
96,Bid ,MAHARASHTRA
97,Bidar ,KARNATAKA
98,Bidhan Nagar ,WEST BENGAL
99,Biharsharif ,BIHAR
100,Bijapur ,KARNATAKA
101,Bikaner ,RAJASTHAN
102,Bilaspur ,CHHATTISGARH
103,Bokaro Steel City ,JHARKHAND
104,Bongaon ,WEST BENGAL
105,Botad ,GUJARAT
106,Brahmapur Town ,ORISSA
107,Budaun ,UTTAR PRADESH
108,Bulandshahr ,UTTAR PRADESH
109,Bundi ,RAJASTHAN
110,Burari ,NCT OF DELHI
111,Burhanpur ,MADHYA PRADESH
112,Buxar ,BIHAR
113,Champdani ,WEST BENGAL
114,Chandannagar ,WEST BENGAL
115,Chandausi ,UTTAR PRADESH
116,Chandigarh ,CHANDIGARH
117,Chandrapur ,MAHARASHTRA
118,Chapra ,BIHAR
119,Chas ,JHARKHAND
120,Chennai ,TAMIL NADU
121,Chhattarpur ,MADHYA PRADESH
122,Chhindwara ,MADHYA PRADESH
123,Chikmagalur ,KARNATAKA
124,Chilakaluripet ,ANDHRA PRADESH
125,Chitradurga ,KARNATAKA
126,Chittaurgarh ,RAJASTHAN
127,Chittoor ,ANDHRA PRADESH
128,Churu ,RAJASTHAN
129,Coimbatore ,TAMIL NADU
130,Cuddalore ,TAMIL NADU
131,Cuttack ,ORISSA
132,Dabgram ,WEST BENGAL
133,Dallo Pura ,NCT OF DELHI
134,Damoh ,MADHYA PRADESH
135,Darbhanga ,BIHAR
136,Darjiling ,WEST BENGAL
137,Datia ,MADHYA PRADESH
138,Davanagere ,KARNATAKA
139,Deesa ,GUJARAT
140,Dehradun ,UTTARAKHAND
141,Dehri ,BIHAR
142,Delhi ,NCT OF DELHI
143,Delhi Cantonment ,NCT OF DELHI
144,Deoghar ,JHARKHAND
145,Deoli ,NCT OF DELHI
146,Deoria ,UTTAR PRADESH
147,Dewas ,MADHYA PRADESH
148,Dhanbad ,JHARKHAND
149,Dharmavaram ,ANDHRA PRADESH
150,Dhaulpur ,RAJASTHAN
151,Dhule ,MAHARASHTRA
152,Dibrugarh ,ASSAM
153,Dimapur ,NAGALAND
154,Dinapur Nizamat ,BIHAR
155,Dindigul ,TAMIL NADU
156,Dum Dum ,WEST BENGAL
157,Durg ,CHHATTISGARH
158,Durgapur ,WEST BENGAL
159,Eluru ,ANDHRA PRADESH
160,English Bazar ,WEST BENGAL
161,Erode ,TAMIL NADU
162,Etah ,UTTAR PRADESH
163,Etawah ,UTTAR PRADESH
164,Faizabad ,UTTAR PRADESH
165,Faridabad ,HARYANA
166,Farrukhabad-cum-Fatehgarh ,UTTAR PRADESH
167,Fatehpur ,UTTAR PRADESH
168,Firozabad ,UTTAR PRADESH
169,Firozpur ,PUNJAB
170,Gadag-Betigeri ,KARNATAKA
171,Gandhidham ,GUJARAT
172,Gandhinagar ,GUJARAT
173,Ganganagar ,RAJASTHAN
174,Gangapur City ,RAJASTHAN
175,Gangawati ,KARNATAKA
176,Gaya ,BIHAR
177,Ghazipur ,UTTAR PRADESH
178,Giridih ,JHARKHAND
179,Godhra ,GUJARAT
180,Gokal Pur ,NCT OF DELHI
181,Gonda ,UTTAR PRADESH
182,Gondal ,GUJARAT
183,Gondiya ,MAHARASHTRA
184,Gorakhpur ,UTTAR PRADESH
185,Greater Hyderabad ,ANDHRA PRADESH
186,Greater Mumbai ,MAHARASHTRA
187,Greater Noida ,UTTAR PRADESH
188,Gudivada ,ANDHRA PRADESH
189,Gulbarga ,KARNATAKA
190,Guna ,MADHYA PRADESH
191,Guntakal ,ANDHRA PRADESH
192,Guntur ,ANDHRA PRADESH
193,Gurgaon ,HARYANA
194,Guwahati ,ASSAM
